ID del Beneficiario,Nombre del Beneficiario,Tipo de Crédito,Monto del Crédito,Destino del Crédito,Tipo de Empresa,Sector Económico,Ubicación (Departamento),Zona (Rural/Urbano),Fecha de Otorgamiento,Plazo del Crédito (meses),Tasa de Interés (%),Garantía,Estado del Crédito
149,Beneficiario_149,Mujer Emprendedora,729706728,Energías renovables,Organización legalmente constituida,Servicios,Central,Rural,2023-11-05,84,18.0,FOGAMU,Activo
150,Beneficiario_150,CAH/Mercadeo,4084129,Equipamiento turístico,Pequeña Empresa,Artesanal,Canindeyú,Urbano,2023-05-25,84,15.0,No tiene garantía,Activo
151,Beneficiario_151,Turismo Rural,589994336,Otros,Pequeña Empresa,Agroindustrial,Boquerón,Periurbano,2023-03-31,108,10.0,FOGAMU,En mora
152,Beneficiario_152,Para Micro y Pequeñas Empresas,703391423,Otros,Productor individual,Comercio,Caazapá,Urbano,2023-01-13,72,10.0,FOGAPY,Activo
153,Beneficiario_153,Juventud Emprendedora,606016597,Equipamiento turístico,Pequeña Empresa,Agricultura Familiar Campesina,Concepción,Urbano,2023-01-28,84,11.5,FOGAPY,Finalizado
154,Beneficiario_154,Banca Comunal,370122090,Ahorro obligatorio (Banca Comunal),Microempresa,Servicios,Caazapá,Urbano,2023-12-08,48,10.0,FOGAPY,En mora
155,Beneficiario_155,Estudiantes y Técnicos Egresados de Escuelas Agropecuarias y Otros,429943632,Cultivo sostenible de frutas y verduras,Pequeña Empresa,Artesanal,Cordillera,Semiurbano,2023-10-04,48,18.0,No tiene garantía,En mora
156,Beneficiario_156,Proagro Banana,69752811,Capital operativo,Productor individual,Agroindustrial,Caazapá,Periurbano,2023-02-10,36,10.0,FOGAMU,Finalizado
157,Beneficiario_157,Inversión Productiva 2.0 - FOGAPY,283992163,Tratamiento de residuos sólidos y líquidos,Microempresa,Servicios,Caaguazú,Periurbano,2023-05-10,36,13.0,FOGAMU,Finalizado
158,Beneficiario_158,Turismo Rural 2.0 - Sello Verde,522399987,Energías renovables,Pequeña Empresa,Servicios,Alto Paraguay,Semiurbano,2023-07-23,48,13.0,FOGAPY,En mora
159,Beneficiario_159,CAH/Mercadeo,196800985,Otros,Productor individual,Forestal,San Pedro,Periurbano,2023-05-22,108,15.0,FOGAMU,Finalizado
160,Beneficiario_160,Turismo Rural 2.0 - Sello Verde,534764333,Infraestructura sustentable,Microempresa,Comercio,Caazapá,Semiurbano,2023-05-06,72,11.5,No tiene garantía,Activo
161,Beneficiario_161,Proagro Banana,541643382,Capital de inversión,Pequeña Empresa,Turismo,San Pedro,Urbano,2023-09-15,36,10.0,FOGAPY,Finalizado
162,Beneficiario_162,Mbaretéra,626435959,Infraestructura sustentable,Organización legalmente constituida,Comercio,Concepción,Urbano,2023-02-01,72,11.5,FOGAMU,En mora
163,Beneficiario_163,Po Joasá,213655624,Infraestructura sustentable,Organización legalmente constituida,Comercio,Alto Paraguay,Rural,2023-05-04,24,18.0,FOGAPY,En mora
164,Beneficiario_164,Banca Comunal,583891352,Infraestructura sustentable,Pequeña Empresa,Artesanal,Canindeyú,Semiurbano,2023-04-28,24,14.0,FOGAMU,Finalizado
165,Beneficiario_165,Banca Comunal,332697907,Capital de inversión,Pequeña Empresa,Agroindustrial,Presidente Hayes,Rural,2023-12-03,24,13.0,No tiene garantía,En mora
166,Beneficiario_166,Proagro Banana,260339424,Otros,Organización legalmente constituida,Forestal,Alto Paraguay,Rural,2023-04-01,120,15.0,FOGAMU,En mora
167,Beneficiario_167,Crédito a Través del Descuento de Documento (CDD),360926783,Ahorro obligatorio (Banca Comunal),Organización legalmente constituida,Artesanal,Presidente Hayes,Periurbano,2023-07-06,12,18.0,FOGAMU,En mora
168,Beneficiario_168,Turismo Rural,528472457,Ahorro obligatorio (Banca Comunal),Productor individual,Servicios,Canindeyú,Rural,2023-09-27,120,13.0,FOGAMU,En mora
169,Beneficiario_169,CAH/Mercadeo,49201260,Desarrollo de microemprendimientos,Organización legalmente constituida,Comercio,Paraguarí,Semiurbano,2023-03-23,72,12.0,No tiene garantía,Finalizado
170,Beneficiario_170,Kuña Ñamombarete Hagua - FOGAMU,244136414,Cultivo sostenible de frutas y verduras,Organización legalmente constituida,Industrial,Presidente Hayes,Semiurbano,2023-09-02,108,18.0,FOGAMU,Finalizado
171,Beneficiario_171,Crédito a Través del Descuento de Documento (CDD),89480295,Capital de inversión,Organización legalmente constituida,Turismo,Guairá,Periurbano,2023-12-29,84,11.5,FOGAMU,Finalizado
172,Beneficiario_172,Crédito a Través del Descuento de Documento (CDD),463114735,Energías renovables,Organización legalmente constituida,Agropecuario,Ñeembucú,Semiurbano,2023-09-18,24,12.0,No tiene garantía,Finalizado
173,Beneficiario_173,Ñepyrura 2.0,331560227,Eficiencia energética,Pequeña Empresa,Agricultura Familiar Campesina,Ñeembucú,Semiurbano,2023-08-04,72,13.0,FOGAPY,Activo
174,Beneficiario_174,Proagro Banana,695022892,Desarrollo de microemprendimientos,Pequeña Empresa,Servicios,Ñeembucú,Semiurbano,2023-10-17,108,10.0,FOGAMU,En mora
175,Beneficiario_175,Kuña Ñamombarete Hagua - FOGAMU,685926798,Ahorro obligatorio (Banca Comunal),Pequeña Empresa,Artesanal,Caazapá,Urbano,2023-09-03,60,14.0,FOGAPY,Activo
176,Beneficiario_176,Turismo Rural 2.0 - Sello Verde,189056833,Proyectos productivos rurales/urbanos,Pequeña Empresa,Comercio,Caazapá,Semiurbano,2023-06-02,84,12.0,No tiene garantía,En mora
177,Beneficiario_177,Mujer Emprendedora,734533029,Equipamiento turístico,Productor individual,Servicios,Misiones,Urbano,2023-05-06,48,15.0,FOGAMU,En mora
178,Beneficiario_178,Crédito a Través del Descuento de Documento (CDD),521117262,Tratamiento de residuos sólidos y líquidos,Productor individual,Agropecuario,Cordillera,Urbano,2023-11-07,120,11.5,FOGAPY,En mora
179,Beneficiario_179,Banca Comunal,35246880,Energías renovables,Productor individual,Comercio,Alto Paraguay,Periurbano,2023-07-07,120,12.0,FOGAPY,En mora
180,Beneficiario_180,Kuña Ñamombarete Hagua - FOGAMU,602918426,Cultivo sostenible de frutas y verduras,Productor individual,Artesanal,Asunción,Semiurbano,2023-06-21,84,14.0,FOGAPY,En mora
181,Beneficiario_181,Kuña Ñamombarete Hagua - FOGAMU,732150371,Capital de inversión,Productor individual,Agroindustrial,Guairá,Periurbano,2023-06-27,24,15.0,FOGAPY,Activo
182,Beneficiario_182,Promandioca - CAH,411566994,Eficiencia energética,Organización legalmente constituida,Industrial,Caaguazú,Semiurbano,2023-04-05,120,12.0,FOGAMU,Finalizado
183,Beneficiario_183,Estudiantes y Técnicos Egresados de Escuelas Agropecuarias y Otros,267827049,Tratamiento de residuos sólidos y líquidos,Pequeña Empresa,Forestal,Guairá,Periurbano,2023-07-27,24,18.0,FOGAPY,Activo
184,Beneficiario_184,Turismo Rural 2.0 - Sello Verde,617085273,Recolección de aguas de lluvia,Pequeña Empresa,Industrial,Central,Rural,2023-04-12,24,14.0,FOGAPY,En mora
185,Beneficiario_185,Banca Comunal,174762193,Cultivo sostenible de frutas y verduras,Organización legalmente constituida,Agricultura Familiar Campesina,Alto Paraguay,Rural,2023-07-09,108,15.0,FOGAPY,En mora
186,Beneficiario_186,Turismo Rural,429638452,Cosecha y almacenamiento,Organización legalmente constituida,Agroindustrial,Itapúa,Urbano,2023-06-22,36,11.5,FOGAPY,Finalizado
187,Beneficiario_187,Inversión Productiva 2.0 - FOGAPY,678163764,Energías renovables,Productor individual,Forestal,Amambay,Urbano,2023-05-07,120,15.0,FOGAPY,Activo
188,Beneficiario_188,Turismo Rural 2.0 - Sello Verde,82048060,Energías renovables,Organización legalmente constituida,Turismo,Alto Paraguay,Periurbano,2023-03-27,84,11.5,No tiene garantía,En mora
189,Beneficiario_189,Turismo Rural,699752990,Proyectos productivos rurales/urbanos,Microempresa,Servicios,Concepción,Semiurbano,2023-08-22,24,12.0,FOGAPY,Finalizado
190,Beneficiario_190,Banca Comunal,496666428,Capital operativo,Microempresa,Industrial,Ñeembucú,Urbano,2023-09-17,72,11.5,FOGAMU,Activo
191,Beneficiario_191,Ñepyrura 2.0,549550239,Equipamiento turístico,Organización legalmente constituida,Agricultura Familiar Campesina,Paraguarí,Semiurbano,2023-03-29,60,14.0,FOGAPY,En mora
192,Beneficiario_192,Crédito a Través del Descuento de Documento (CDD),24471224,Ahorro obligatorio (Banca Comunal),Pequeña Empresa,Turismo,Guairá,Periurbano,2023-10-20,36,15.0,No tiene garantía,Finalizado
193,Beneficiario_193,Yvy Ñamombarete Hagua,532535863,Infraestructura sustentable,Productor individual,Agropecuario,Cordillera,Semiurbano,2023-11-12,120,10.0,FOGAMU,Finalizado
194,Beneficiario_194,Ñepyrura 2.0,185280730,Capital de inversión,Productor individual,Agropecuario,Boquerón,Urbano,2023-04-17,96,10.0,FOGAMU,Activo
195,Beneficiario_195,Turismo Rural,568904517,Tratamiento de residuos sólidos y líquidos,Microempresa,Industrial,Paraguarí,Rural,2023-11-04,12,15.0,FOGAPY,En mora
196,Beneficiario_196,Banca Comunal,48470215,Otros,Pequeña Empresa,Agricultura Familiar Campesina,Amambay,Periurbano,2023-03-06,60,18.0,FOGAMU,Activo
197,Beneficiario_197,Estudiantes y Técnicos Egresados de Escuelas Agropecuarias y Otros,542350359,Cultivo sostenible de frutas y verduras,Pequeña Empresa,Agropecuario,Cordillera,Periurbano,2023-01-04,36,15.0,FOGAPY,Activo
198,Beneficiario_198,Ñepyrura 2.0,41484207,Infraestructura sustentable,Pequeña Empresa,Artesanal,Asunción,Urbano,2023-11-27,84,18.0,No tiene garantía,Activo
199,Beneficiario_199,Para Micro y Pequeñas Empresas,590471961,Cosecha y almacenamiento,Pequeña Empresa,Industrial,Misiones,Urbano,2023-05-15,60,15.0,FOGAPY,En mora
200,Beneficiario_200,Crédito a Través del Descuento de Documento (CDD),351824399,Equipamiento turístico,Microempresa,Agricultura Familiar Campesina,Misiones,Rural,2023-10-21,72,10.0,FOGAMU,En mora
201,Beneficiario_201,Banca Comunal,117394755,Cosecha y almacenamiento,Productor individual,Servicios,Caazapá,Urbano,2023-03-02,72,14.0,FOGAPY,En mora
202,Beneficiario_202,Para Micro y Pequeñas Empresas,290204884,Capital operativo,Microempresa,Servicios,Asunción,Urbano,2023-10-22,108,15.0,No tiene garantía,Activo
203,Beneficiario_203,Mujer Emprendedora,334872042,Energías renovables,Pequeña Empresa,Agricultura Familiar Campesina,Paraguarí,Periurbano,2023-12-18,12,13.0,FOGAMU,En mora
204,Beneficiario_204,Banca Comunal,82859508,Desarrollo de microemprendimientos,Productor individual,Forestal,Guairá,Rural,2023-11-24,84,14.0,FOGAPY,En mora
205,Beneficiario_205,Inversión Productiva,17246111,Capital operativo,Microempresa,Turismo,Central,Urbano,2023-12-26,96,13.0,No tiene garantía,En mora
206,Beneficiario_206,Mbaretéra,680563470,Cultivo sostenible de frutas y verduras,Productor individual,Turismo,Guairá,Urbano,2023-03-29,60,18.0,No tiene garantía,Finalizado
207,Beneficiario_207,Para Micro y Pequeñas Empresas,359842599,Cosecha y almacenamiento,Pequeña Empresa,Industrial,Guairá,Periurbano,2023-01-25,48,18.0,FOGAMU,Finalizado
208,Beneficiario_208,Po Joasá,96130136,Recolección de aguas de lluvia,Organización legalmente constituida,Industrial,Caazapá,Urbano,2023-10-19,48,13.0,No tiene garantía,Finalizado
209,Beneficiario_209,Banca Comunal,505253863,Otros,Organización legalmente constituida,Artesanal,Boquerón,Periurbano,2023-12-21,72,13.0,FOGAPY,En mora
210,Beneficiario_210,Crédito a Través del Descuento de Documento (CDD),493992180,Capital operativo,Microempresa,Industrial,Cordillera,Semiurbano,2023-12-16,60,11.5,FOGAPY,En mora
211,Beneficiario_211,Kuña Ñamombarete Hagua - FOGAMU,310659338,Equipamiento turístico,Productor individual,Forestal,Caazapá,Semiurbano,2023-04-01,96,15.0,No tiene garantía,En mora
212,Beneficiario_212,Mujer Emprendedora,662574905,Otros,Pequeña Empresa,Servicios,Paraguarí,Rural,2023-05-19,60,18.0,FOGAPY,Finalizado
213,Beneficiario_213,Ñepyrura 2.0,137669071,Eficiencia energética,Productor individual,Industrial,Boquerón,Urbano,2023-12-11,48,11.5,FOGAPY,Finalizado
214,Beneficiario_214,Yvy Ñamombarete Hagua,741362698,Cosecha y almacenamiento,Productor individual,Artesanal,San Pedro,Periurbano,2023-04-15,72,15.0,No tiene garantía,Finalizado
215,Beneficiario_215,Para Micro y Pequeñas Empresas,437901265,Desarrollo de microemprendimientos,Pequeña Empresa,Forestal,Canindeyú,Urbano,2023-05-10,108,10.0,FOGAPY,En mora
216,Beneficiario_216,Inversión Productiva 2.0 - FOGAPY,87648107,Otros,Productor individual,Agropecuario,Canindeyú,Semiurbano,2023-07-06,48,13.0,FOGAPY,Finalizado
217,Beneficiario_217,Proagro Banana,547657174,Cultivo sostenible de frutas y verduras,Productor individual,Artesanal,Guairá,Periurbano,2023-06-04,96,13.0,No tiene garantía,Activo
218,Beneficiario_218,Inversión Productiva,304507778,Desarrollo de microemprendimientos,Productor individual,Agroindustrial,Asunción,Rural,2023-09-26,120,10.0,FOGAMU,Activo
219,Beneficiario_219,Yvy Ñamombarete Hagua,717170975,Tratamiento de residuos sólidos y líquidos,Microempresa,Artesanal,Caaguazú,Urbano,2023-11-18,108,15.0,No tiene garantía,Finalizado
220,Beneficiario_220,Po Joasá,641709247,Tratamiento de residuos sólidos y líquidos,Organización legalmente constituida,Comercio,Cordillera,Semiurbano,2023-01-09,36,10.0,FOGAPY,Activo
221,Beneficiario_221,Proagro CAH,653395967,Proyectos productivos rurales/urbanos,Microempresa,Forestal,Guairá,Periurbano,2023-11-04,84,10.0,FOGAMU,Finalizado
222,Beneficiario_222,Inversión Productiva 2.0 - FOGAPY,266966195,Energías renovables,Productor individual,Artesanal,Misiones,Semiurbano,2023-08-09,120,11.5,No tiene garantía,Finalizado
223,Beneficiario_223,Mbaretéra,448826503,Equipamiento turístico,Productor individual,Artesanal,Alto Paraná,Semiurbano,2023-10-13,96,14.0,FOGAPY,Finalizado
224,Beneficiario_224,Yvy Ñamombarete Hagua,586099112,Equipamiento turístico,Pequeña Empresa,Comercio,Presidente Hayes,Periurbano,2023-02-18,108,13.0,FOGAPY,En mora
225,Beneficiario_225,Yvy Ñamombarete Hagua,76672394,Infraestructura sustentable,Microempresa,Turismo,Asunción,Semiurbano,2023-10-21,84,12.0,FOGAMU,Finalizado
226,Beneficiario_226,Turismo Rural,239559729,Energías renovables,Productor individual,Forestal,Alto Paraná,Rural,2023-11-03,60,10.0,FOGAMU,En mora
227,Beneficiario_227,Mujer Emprendedora,222844888,Cultivo sostenible de frutas y verduras,Microempresa,Servicios,Cordillera,Periurbano,2023-05-10,24,13.0,FOGAPY,Finalizado
228,Beneficiario_228,Mbaretéra,51140448,Recolección de aguas de lluvia,Microempresa,Turismo,Boquerón,Rural,2023-04-25,108,18.0,FOGAMU,En mora
229,Beneficiario_229,Juventud Emprendedora,402522174,Desarrollo de microemprendimientos,Organización legalmente constituida,Servicios,Caaguazú,Rural,2023-10-29,108,12.0,FOGAPY,Activo
230,Beneficiario_230,Para Micro y Pequeñas Empresas,151955258,Tratamiento de residuos sólidos y líquidos,Productor individual,Servicios,Itapúa,Rural,2023-12-30,72,12.0,No tiene garantía,Finalizado
231,Beneficiario_231,Proagro Banana,281466445,Eficiencia energética,Microempresa,Servicios,Cordillera,Rural,2023-05-20,84,13.0,FOGAMU,Activo
232,Beneficiario_232,Estudiantes y Técnicos Egresados de Escuelas Agropecuarias y Otros,407961357,Equipamiento turístico,Productor individual,Industrial,Cordillera,Urbano,2023-03-24,72,13.0,FOGAPY,Activo
233,Beneficiario_233,Crédito a Través del Descuento de Documento (CDD),511404982,Otros,Microempresa,Artesanal,Ñeembucú,Urbano,2023-10-21,108,12.0,No tiene garantía,En mora
234,Beneficiario_234,Crédito a Través del Descuento de Documento (CDD),373473950,Proyectos productivos rurales/urbanos,Pequeña Empresa,Forestal,Paraguarí,Semiurbano,2023-09-29,108,14.0,FOGAPY,Activo
235,Beneficiario_235,Yvy Ñamombarete Hagua,635219384,Capital de inversión,Microempresa,Agropecuario,Itapúa,Semiurbano,2023-10-01,108,12.0,FOGAPY,Finalizado
236,Beneficiario_236,Ñepyrura 2.0,149623384,Ahorro obligatorio (Banca Comunal),Productor individual,Agroindustrial,Ñeembucú,Urbano,2023-06-08,12,14.0,FOGAMU,En mora
237,Beneficiario_237,Turismo Rural 2.0 - Sello Verde,257660536,Energías renovables,Pequeña Empresa,Industrial,Alto Paraná,Rural,2023-09-27,108,15.0,No tiene garantía,En mora
238,Beneficiario_238,Inversión Productiva 2.0 - FOGAPY,277681538,Energías renovables,Productor individual,Industrial,Presidente Hayes,Rural,2023-06-17,96,14.0,FOGAPY,Finalizado
239,Beneficiario_239,Po Joasá,91462932,Tratamiento de residuos sólidos y líquidos,Pequeña Empresa,Servicios,Itapúa,Semiurbano,2023-01-09,60,15.0,FOGAMU,Finalizado
240,Beneficiario_240,Para Micro y Pequeñas Empresas,609043743,Capital operativo,Organización legalmente constituida,Turismo,Presidente Hayes,Periurbano,2023-04-13,108,10.0,FOGAPY,Activo
241,Beneficiario_241,Kuña Ñamombarete Hagua - FOGAMU,398147047,Cosecha y almacenamiento,Microempresa,Forestal,Ñeembucú,Semiurbano,2023-10-05,24,14.0,FOGAPY,Finalizado
242,Beneficiario_242,Mujer Emprendedora,717914762,Energías renovables,Pequeña Empresa,Forestal,Guairá,Rural,2023-07-03,120,18.0,FOGAPY,Activo
243,Beneficiario_243,Inversión Productiva,609344602,Ahorro obligatorio (Banca Comunal),Organización legalmente constituida,Artesanal,San Pedro,Periurbano,2023-12-07,120,10.0,No tiene garantía,En mora
244,Beneficiario_244,Turismo Rural 2.0 - Sello Verde,153187437,Cultivo sostenible de frutas y verduras,Microempresa,Industrial,Caaguazú,Rural,2023-04-25,72,15.0,FOGAPY,Activo
245,Beneficiario_245,Estudiantes y Técnicos Egresados de Escuelas Agropecuarias y Otros,31445030,Recolección de aguas de lluvia,Pequeña Empresa,Forestal,Ñeembucú,Semiurbano,2023-07-16,96,13.0,FOGAPY,En mora
246,Beneficiario_246,Yvy Ñamombarete Hagua,12598177,Equipamiento turístico,Microempresa,Turismo,San Pedro,Semiurbano,2023-06-29,108,11.5,No tiene garantía,En mora
247,Beneficiario_247,Turismo Rural 2.0 - Sello Verde,375823451,Capital de inversión,Organización legalmente constituida,Forestal,Boquerón,Semiurbano,2023-04-06,120,12.0,FOGAPY,En mora
248,Beneficiario_248,Juventud Emprendedora,502783441,Capital de inversión,Productor individual,Industrial,Guairá,Urbano,2023-11-22,72,18.0,FOGAPY,En mora
249,Beneficiario_249,Estudiantes y Técnicos Egresados de Escuelas Agropecuarias y Otros,322362902,Proyectos productivos rurales/urbanos,Pequeña Empresa,Agricultura Familiar Campesina,Canindeyú,Periurbano,2023-03-14,24,10.0,FOGAPY,En mora
250,Beneficiario_250,Inversión Productiva 2.0 - FOGAPY,297901609,Capital de inversión,Productor individual,Agroindustrial,Concepción,Semiurbano,2023-09-11,36,14.0,FOGAPY,Finalizado
251,Beneficiario_251,Proagro Banana,660386013,Recolección de aguas de lluvia,Organización legalmente constituida,Servicios,Caaguazú,Semiurbano,2023-09-19,60,10.0,FOGAPY,Activo
252,Beneficiario_252,Proagro Banana,110092031,Otros,Organización legalmente constituida,Comercio,Presidente Hayes,Rural,2023-09-26,96,18.0,FOGAMU,En mora
253,Beneficiario_253,CAH/Mercadeo,400677183,Ahorro obligatorio (Banca Comunal),Organización legalmente constituida,Turismo,San Pedro,Rural,2023-07-20,72,10.0,FOGAPY,Activo
254,Beneficiario_254,Mujer Emprendedora,591459433,Equipamiento turístico,Microempresa,Agropecuario,San Pedro,Periurbano,2023-05-12,24,14.0,FOGAPY,Activo
255,Beneficiario_255,Inversión Productiva 2.0 - FOGAPY,642975755,Cosecha y almacenamiento,Productor individual,Agricultura Familiar Campesina,San Pedro,Urbano,2023-08-31,108,15.0,FOGAPY,En mora
256,Beneficiario_256,Ñepyrura 2.0,89518551,Equipamiento turístico,Organización legalmente constituida,Comercio,Presidente Hayes,Urbano,2023-04-16,24,13.0,FOGAPY,Finalizado
257,Beneficiario_257,Juventud Emprendedora,147919885,Infraestructura sustentable,Pequeña Empresa,Comercio,Central,Periurbano,2023-12-23,120,15.0,FOGAPY,Activo
258,Beneficiario_258,Mujer Emprendedora,111777097,Capital de inversión,Pequeña Empresa,Forestal,Canindeyú,Semiurbano,2023-01-16,120,13.0,No tiene garantía,Finalizado
259,Beneficiario_259,CAH/Mercadeo,123723480,Tratamiento de residuos sólidos y líquidos,Microempresa,Artesanal,Ñeembucú,Periurbano,2023-06-03,60,10.0,FOGAPY,En mora
260,Beneficiario_260,Juventud Emprendedora,50663162,Cosecha y almacenamiento,Pequeña Empresa,Forestal,Caaguazú,Semiurbano,2023-02-06,60,14.0,FOGAMU,Finalizado
261,Beneficiario_261,Turismo Rural 2.0 - Sello Verde,183909709,Eficiencia energética,Productor individual,Industrial,Asunción,Periurbano,2023-03-12,120,15.0,FOGAPY,Activo
262,Beneficiario_262,Para Micro y Pequeñas Empresas,322508528,Otros,Pequeña Empresa,Servicios,Concepción,Rural,2023-02-09,72,15.0,FOGAPY,Activo
263,Beneficiario_263,Kuña Ñamombarete Hagua - FOGAMU,285607901,Recolección de aguas de lluvia,Microempresa,Comercio,Presidente Hayes,Rural,2023-12-04,24,13.0,FOGAMU,En mora
264,Beneficiario_264,Proagro CAH,521807705,Tratamiento de residuos sólidos y líquidos,Productor individual,Turismo,Misiones,Periurbano,2023-09-04,60,18.0,No tiene garantía,En mora
265,Beneficiario_265,Inversión Productiva 2.0 - FOGAPY,662473019,Cosecha y almacenamiento,Productor individual,Servicios,Caazapá,Periurbano,2023-02-21,12,15.0,No tiene garantía,Finalizado
266,Beneficiario_266,Turismo Rural 2.0 - Sello Verde,118600739,Energías renovables,Productor individual,Comercio,Central,Urbano,2023-09-18,12,11.5,No tiene garantía,Finalizado
267,Beneficiario_267,Estudiantes y Técnicos Egresados de Escuelas Agropecuarias y Otros,513848317,Tratamiento de residuos sólidos y líquidos,Organización legalmente constituida,Industrial,Amambay,Urbano,2023-12-03,120,10.0,FOGAPY,En mora
268,Beneficiario_268,Estudiantes y Técnicos Egresados de Escuelas Agropecuarias y Otros,691461282,Equipamiento turístico,Pequeña Empresa,Industrial,Concepción,Rural,2023-11-29,36,15.0,FOGAPY,Activo
269,Beneficiario_269,Crédito a Través del Descuento de Documento (CDD),554176644,Cultivo sostenible de frutas y verduras,Productor individual,Agropecuario,Boquerón,Semiurbano,2023-08-12,36,13.0,FOGAPY,Finalizado
270,Beneficiario_270,Po Joasá,523999938,Cosecha y almacenamiento,Organización legalmente constituida,Industrial,Paraguarí,Semiurbano,2023-08-11,36,11.5,FOGAMU,Activo
271,Beneficiario_271,Turismo Rural,500967269,Recolección de aguas de lluvia,Productor individual,Agroindustrial,Caaguazú,Periurbano,2023-12-21,60,10.0,FOGAMU,Finalizado
272,Beneficiario_272,Promandioca - CAH,438164778,Tratamiento de residuos sólidos y líquidos,Microempresa,Agropecuario,Alto Paraná,Semiurbano,2023-09-28,48,10.0,No tiene garantía,Activo
273,Beneficiario_273,Inversión Productiva,84197526,Desarrollo de microemprendimientos,Productor individual,Servicios,Central,Urbano,2023-05-24,108,14.0,No tiene garantía,Activo
274,Beneficiario_274,Kuña Ñamombarete Hagua - FOGAMU,304208525,Recolección de aguas de lluvia,Organización legalmente constituida,Industrial,Caazapá,Urbano,2023-07-04,96,12.0,FOGAPY,En mora
275,Beneficiario_275,Para Micro y Pequeñas Empresas,65068557,Cosecha y almacenamiento,Pequeña Empresa,Forestal,Alto Paraná,Semiurbano,2023-10-04,96,13.0,FOGAPY,En mora
276,Beneficiario_276,Banca Comunal,84068389,Otros,Microempresa,Servicios,Cordillera,Rural,2023-08-22,72,18.0,FOGAMU,Activo
277,Beneficiario_277,Kuña Ñamombarete Hagua - FOGAMU,313153990,Desarrollo de microemprendimientos,Organización legalmente constituida,Industrial,Concepción,Rural,2023-11-02,12,11.5,FOGAMU,Finalizado
278,Beneficiario_278,Kuña Ñamombarete Hagua - FOGAMU,652537710,Tratamiento de residuos sólidos y líquidos,Microempresa,Industrial,Guairá,Periurbano,2023-03-07,36,15.0,No tiene garantía,Activo
279,Beneficiario_279,Inversión Productiva 2.0 - FOGAPY,493944607,Cosecha y almacenamiento,Organización legalmente constituida,Agricultura Familiar Campesina,Paraguarí,Urbano,2023-03-28,48,12.0,FOGAPY,Finalizado
280,Beneficiario_280,Estudiantes y Técnicos Egresados de Escuelas Agropecuarias y Otros,128487161,Capital de inversión,Pequeña Empresa,Artesanal,Caaguazú,Periurbano,2023-03-31,72,18.0,No tiene garantía,Activo
281,Beneficiario_281,Proagro CAH,127483787,Cultivo sostenible de frutas y verduras,Microempresa,Forestal,Amambay,Periurbano,2023-04-15,120,11.5,FOGAPY,En mora
282,Beneficiario_282,Crédito a Través del Descuento de Documento (CDD),216250726,Cosecha y almacenamiento,Microempresa,Artesanal,Guairá,Periurbano,2023-08-04,36,15.0,No tiene garantía,Activo
283,Beneficiario_283,Para Micro y Pequeñas Empresas,605910482,Cultivo sostenible de frutas y verduras,Pequeña Empresa,Turismo,Itapúa,Periurbano,2023-07-15,108,14.0,FOGAPY,Activo
284,Beneficiario_284,Proagro CAH,508292589,Capital operativo,Pequeña Empresa,Servicios,Alto Paraná,Periurbano,2023-12-29,48,12.0,FOGAMU,Activo
285,Beneficiario_285,Turismo Rural 2.0 - Sello Verde,463753818,Recolección de aguas de lluvia,Organización legalmente constituida,Comercio,Presidente Hayes,Semiurbano,2023-07-03,48,11.5,No tiene garantía,En mora
286,Beneficiario_286,Proagro CAH,256749431,Capital de inversión,Productor individual,Artesanal,Cordillera,Urbano,2023-04-02,24,15.0,FOGAPY,Finalizado
287,Beneficiario_287,Para Micro y Pequeñas Empresas,34010346,Cosecha y almacenamiento,Productor individual,Comercio,Misiones,Urbano,2023-07-26,48,10.0,FOGAMU,Finalizado
288,Beneficiario_288,Mujer Emprendedora,489681922,Proyectos productivos rurales/urbanos,Microempresa,Industrial,Amambay,Rural,2023-12-07,60,18.0,FOGAMU,En mora
289,Beneficiario_289,CAH/Mercadeo,268695581,Tratamiento de residuos sólidos y líquidos,Organización legalmente constituida,Artesanal,Concepción,Urbano,2023-02-25,60,18.0,FOGAPY,En mora
290,Beneficiario_290,Promandioca - CAH,704333001,Desarrollo de microemprendimientos,Productor individual,Comercio,Itapúa,Urbano,2023-01-17,60,11.5,No tiene garantía,Finalizado
291,Beneficiario_291,Promandioca - CAH,141738769,Capital operativo,Microempresa,Comercio,Amambay,Rural,2023-12-12,84,13.0,FOGAMU,En mora
292,Beneficiario_292,Turismo Rural 2.0 - Sello Verde,601912758,Capital operativo,Organización legalmente constituida,Agroindustrial,Central,Periurbano,2023-04-30,12,11.5,FOGAMU,Finalizado
293,Beneficiario_293,CAH/Mercadeo,511930325,Capital de inversión,Pequeña Empresa,Agroindustrial,Presidente Hayes,Rural,2023-06-03,96,11.5,FOGAMU,En mora
294,Beneficiario_294,Po Joasá,507879729,Tratamiento de residuos sólidos y líquidos,Organización legalmente constituida,Turismo,Itapúa,Semiurbano,2023-07-17,60,12.0,FOGAPY,Finalizado
295,Beneficiario_295,Proagro Banana,199624161,Proyectos productivos rurales/urbanos,Organización legalmente constituida,Comercio,San Pedro,Rural,2023-05-20,48,14.0,No tiene garantía,Activo
296,Beneficiario_296,Proagro Banana,516200526,Energías renovables,Organización legalmente constituida,Forestal,Misiones,Rural,2023-01-09,96,11.5,FOGAPY,Finalizado
